algorithm,environment,training_seed,condition,mean_return,median_return,cvar10_return,decision_weighted_support_coverage,episode_mean_support_coverage,exact_recurrence_rate_episode_mean,unhealthy_termination_rate,truncation_rate,mean_critic_gap,mean_tqc_quantile_iqr,final_eval_episodes,final_eval_decisions
CrossQ,HalfCheetah-v5,22003,ACT_GAIN_075,2816.0485176015563,2824.7267502682553,2746.620283629268,0.9993333333333333,0.9993333333333332,0.0,,1.0,1.2902089029947916,,30,30000
CrossQ,HalfCheetah-v5,22003,COMBINED_DELAY_GAIN,822.8602002808402,940.6108376135412,416.31915908923617,0.9818,0.9817999999999999,0.0,,1.0,2.604953866958618,,30,30000
CrossQ,HalfCheetah-v5,22003,NOMINAL,5487.585267044401,5480.684568697355,5318.990752924382,0.9996,0.9995999999999999,0.0,,1.0,1.1761370849609376,,30,30000
CrossQ,HalfCheetah-v5,22003,OBS_DELAY_1,279.2597917487414,277.6595814961652,234.28560920907194,0.9427333333333333,0.9427333333333335,0.0,,1.0,5.240418610254923,,30,30000
CrossQ,HalfCheetah-v5,22004,ACT_GAIN_075,2361.8553561768153,2355.470670107068,2283.550586436064,0.9995666666666667,0.9995666666666666,0.0,,1.0,2.049370340983073,,30,30000
CrossQ,HalfCheetah-v5,22004,COMBINED_DELAY_GAIN,706.6479124435097,706.2515172515863,634.0392603579467,0.9965666666666667,0.9965666666666666,0.0,,1.0,2.367766072591146,,30,30000
CrossQ,HalfCheetah-v5,22004,NOMINAL,5887.231226954482,5910.379201169743,5731.341654638784,0.9981,0.9981000000000001,0.0,,1.0,0.6561588948567708,,30,30000
CrossQ,HalfCheetah-v5,22004,OBS_DELAY_1,-56.29074452815291,-64.40273066800592,-123.35958463010452,0.9611,0.9610999999999997,0.0,,1.0,2.431566889444987,,30,30000
CrossQ,Walker2d-v5,22000,ACT_GAIN_075,4698.335662128104,4698.163173570028,4685.088089463637,0.9996,0.9995999999999998,0.0,0.0,1.0,2.1111558430989583,,30,30000
CrossQ,Walker2d-v5,22000,COMBINED_DELAY_GAIN,4788.251604177917,4787.365039866662,4773.495004528003,0.9993,0.9993,0.0,0.0,1.0,2.2588322753906254,,30,30000
CrossQ,Walker2d-v5,22000,NOMINAL,4582.561980292948,4580.88764539493,4567.763357075714,1.0,1.0,0.0,0.0,1.0,2.418406188964844,,30,30000
CrossQ,Walker2d-v5,22000,OBS_DELAY_1,4574.205587157368,4569.810130025357,4504.492274274374,0.9870333333333333,0.9870333333333331,0.0,0.0,1.0,2.7116598307291673,,30,30000
CrossQ,Walker2d-v5,22001,ACT_GAIN_075,3101.1457495972263,3446.735914977743,962.26023751884,0.9981012658227848,0.9958585585585585,0.0,0.23333333333333334,0.7666666666666667,2.501526186786966,,30,26860
CrossQ,Walker2d-v5,22001,COMBINED_DELAY_GAIN,976.6783935430491,647.2715302255153,316.6534965827281,0.9143168209036473,0.8813826018637708,0.0,0.9666666666666667,0.03333333333333333,5.220707258655239,,30,9185
CrossQ,Walker2d-v5,22001,NOMINAL,3219.0977827004294,3544.0493917702775,872.5313765927114,0.9882764976958526,0.98816227902567,0.0,0.2,0.8,2.9153229380387953,,30,27125
CrossQ,Walker2d-v5,22001,OBS_DELAY_1,1992.2579564191562,1736.8499624975702,282.7874977698513,0.9661818611800875,0.9423844632719933,0.0,0.6333333333333333,0.36666666666666664,3.9601239484969293,,30,16914
CrossQ,Walker2d-v5,22002,ACT_GAIN_075,971.2889711379843,1093.5898737988427,618.9640852190296,0.9626885075403017,0.9570326635896461,0.0,1.0,0.0,2.8465283985695993,,30,7692
CrossQ,Walker2d-v5,22002,COMBINED_DELAY_GAIN,374.70629963411204,370.73838918690683,362.3764210130148,0.9599581261449882,0.9603820808355034,0.0,1.0,0.0,4.468629297598299,,30,3821
CrossQ,Walker2d-v5,22002,NOMINAL,4263.461338033571,4677.6499148017565,2305.274421466101,0.989730282874059,0.9865330637902442,0.0,0.26666666666666666,0.7333333333333333,2.100642917071366,,30,27362
